2023-11-01T10:52:46.487Z	INFO	controller	Starting Controller	{"commit": "322822a", "controller": "node_state", "controllerGroup": "", "controllerKind": "Node"}
2023-11-01T10:52:46.487Z	INFO	controller	Starting EventSource	{"commit": "322822a", "controller": "machine.termination", "controllerGroup": "karpenter.sh", "controllerKind": "Machine", "source": "kind source: *v1alpha5.Machine"}
2023-11-01T10:52:46.487Z	INFO	controller	Starting EventSource	{"commit": "322822a", "controller": "machine.termination", "controllerGroup": "karpenter.sh", "controllerKind": "Machine", "source": "kind source: *v1.Node"}
2023-11-01T10:52:46.487Z	INFO	controller	Starting Controller	{"commit": "322822a", "controller": "machine.termination", "controllerGroup": "karpenter.sh", "controllerKind": "Machine"}
2023-11-01T10:52:46.487Z	INFO	controller	Starting EventSource	{"commit": "322822a", "controller": "counter", "controllerGroup": "karpenter.sh", "controllerKind": "Provisioner", "source": "kind source: *v1alpha5.Provisioner"}
2023-11-01T10:52:46.487Z	INFO	controller	Starting EventSource	{"commit": "322822a", "controller": "counter", "controllerGroup": "karpenter.sh", "controllerKind": "Provisioner", "source": "kind source: *v1alpha5.Machine"}
2023-11-01T10:52:46.487Z	INFO	controller	Starting EventSource	{"commit": "322822a", "controller": "counter", "controllerGroup": "karpenter.sh", "controllerKind": "Provisioner", "source": "kind source: *v1.Node"}
2023-11-01T10:52:46.487Z	INFO	controller	Starting Controller	{"commit": "322822a", "controller": "counter", "controllerGroup": "karpenter.sh", "controllerKind": "Provisioner"}
2023-11-01T10:52:46.487Z	INFO	controller	Starting EventSource	{"commit": "322822a", "controller": "termination", "controllerGroup": "", "controllerKind": "Node", "source": "kind source: *v1.Node"}
2023-11-01T10:52:46.487Z	INFO	controller	Starting Controller	{"commit": "322822a", "controller": "termination", "controllerGroup": "", "controllerKind": "Node"}
2023-11-01T10:52:46.487Z	INFO	controller	Starting EventSource	{"commit": "322822a", "controller": "machine-state", "controllerGroup": "karpenter.sh", "controllerKind": "Machine", "source": "kind source: *v1alpha5.Machine"}
2023-11-01T10:52:46.487Z	INFO	controller	Starting Controller	{"commit": "322822a", "controller": "machine-state", "controllerGroup": "karpenter.sh", "controllerKind": "Machine"}
2023-11-01T10:52:46.487Z	INFO	controller	Starting EventSource	{"commit": "322822a", "controller": "provisioner_state", "controllerGroup": "karpenter.sh", "controllerKind": "Provisioner", "source": "kind source: *v1alpha5.Provisioner"}
2023-11-01T10:52:46.487Z	INFO	controller	Starting Controller	{"commit": "322822a", "controller": "provisioner_state", "controllerGroup": "karpenter.sh", "controllerKind": "Provisioner"}
2023-11-01T10:52:46.487Z	INFO	controller	Starting EventSource	{"commit": "322822a", "controller": "provisioner_metrics", "controllerGroup": "karpenter.sh", "controllerKind": "Provisioner", "source": "kind source: *v1alpha5.Provisioner"}
2023-11-01T10:52:46.487Z	INFO	controller	Starting Controller	{"commit": "322822a", "controller": "provisioner_metrics", "controllerGroup": "karpenter.sh", "controllerKind": "Provisioner"}
2023-11-01T10:52:46.487Z	INFO	controller	Starting EventSource	{"commit": "322822a", "controller": "machine.lifecycle", "controllerGroup": "karpenter.sh", "controllerKind": "Machine", "source": "kind source: *v1alpha5.Machine"}
2023-11-01T10:52:46.487Z	INFO	controller	Starting EventSource	{"commit": "322822a", "controller": "machine.lifecycle", "controllerGroup": "karpenter.sh", "controllerKind": "Machine", "source": "kind source: *v1.Node"}
2023-11-01T10:52:46.487Z	INFO	controller	Starting Controller	{"commit": "322822a", "controller": "machine.lifecycle", "controllerGroup": "karpenter.sh", "controllerKind": "Machine"}
2023-11-01T10:52:46.487Z	INFO	controller	Starting EventSource	{"commit": "322822a", "controller": "awsnodetemplate", "controllerGroup": "karpenter.k8s.aws", "controllerKind": "AWSNodeTemplate", "source": "kind source: *v1alpha1.AWSNodeTemplate"}
2023-11-01T10:52:46.487Z	INFO	controller	Starting Controller	{"commit": "322822a", "controller": "awsnodetemplate", "controllerGroup": "karpenter.k8s.aws", "controllerKind": "AWSNodeTemplate"}
2023-11-01T10:52:46.487Z	INFO	controller	Starting EventSource	{"commit": "322822a", "controller": "lease.garbagecollection", "controllerGroup": "coordination.k8s.io", "controllerKind": "Lease", "source": "kind source: *v1.Lease"}
